parmoeda,frequencia,datetime,timestamp,GEP,vela1,vela2,vela3,operacao,ultima_vela,vela_abertura
EURGBP,123.99,2023-08-02 09:28:50.390900,09:28:50,NEUTRO,0.0,4.0,0.0,PUT,0.860815,0.860885
EURUSD,124.67,2023-08-02 09:29:50.986651,09:29:50,NEUTRO,0.0,1.0,2.0,CALL,1.097205,1.097095
EURJPY,123.45,2023-08-02 09:29:50.986651,09:29:50,ALTA,0.0,5.0,0.0,PUT,156.905215,156.939365
EURGBP,123.99,2023-08-02 09:29:50.986651,09:29:50,NEUTRO,0.0,2.0,5.0,PUT,0.861075,0.860825
EURUSD,124.67,2023-08-02 09:30:50.581042,09:30:50,NEUTRO,1.0,0.0,4.0,CALL,1.096815,1.097175
EURJPY,123.45,2023-08-02 09:30:50.581042,09:30:50,ALTA,1.0,2.0,1.0,CALL,156.887315,156.907415
EURGBP,123.99,2023-08-02 09:30:50.581042,09:30:50,NEUTRO,4.0,1.0,0.0,PUT,0.860945,0.86102
EURUSD,124.67,2023-08-02 09:31:50.990858,09:31:50,NEUTRO,1.0,0.0,4.0,CALL,1.09639,1.097145
EURJPY,123.45,2023-08-02 09:31:50.990858,09:31:50,NEUTRO,0.0,1.0,5.0,CALL,156.898695,156.901385
EURUSD,124.67,2023-08-02 09:32:50.400857,09:32:50,NEUTRO,0.0,0.0,4.0,PUT,1.09635,1.09646
EURJPY,123.45,2023-08-02 09:32:50.400857,09:32:50,NEUTRO,5.0,0.0,0.0,CALL,156.891585,156.902205
EURGBP,123.99,2023-08-02 09:32:50.400857,09:32:50,ALTA,1.0,1.0,0.0,CALL,0.861225,0.861235
EURUSD,124.67,2023-08-02 09:32:51.377462,09:32:50,NEUTRO,0.0,0.0,4.0,PUT,1.09635,1.09646
EURJPY,123.45,2023-08-02 09:32:51.377462,09:32:50,NEUTRO,0.0,0.0,0.0,CALL,156.891585,156.902205
EURUSD,124.67,2023-08-02 09:33:51.025811,09:33:50,ALTA,4.0,1.0,0.0,CALL,1.0963,1.096465
EURJPY,123.45,2023-08-02 09:33:51.025811,09:33:50,NEUTRO,1.0,0.0,4.0,CALL,156.851015,156.898445
EURUSD,124.67,2023-08-02 09:34:50.471955,09:34:50,ALTA,5.0,0.0,4.0,CALL,1.09621,1.096285
EURGBP,123.99,2023-08-02 09:34:50.471955,09:34:50,ALTA,1.0,0.0,0.0,CALL,0.861005,0.86108
EURUSD,124.67,2023-08-02 09:35:51.045841,09:35:50,NEUTRO,0.0,2.0,1.0,CALL,1.09627,1.09622
EURJPY,123.45,2023-08-02 09:35:51.045841,09:35:50,NEUTRO,1.0,1.0,1.0,CALL,156.858315,156.883475
EURGBP,123.99,2023-08-02 09:35:51.045841,09:35:50,NEUTRO,1.0,4.0,0.0,CALL,0.861025,0.861015
EURUSD,124.67,2023-08-02 09:36:50.616520,09:36:50,NEUTRO,0.0,5.0,4.0,PUT,1.09634,1.096235
EURJPY,123.45,2023-08-02 09:36:50.616520,09:36:50,NEUTRO,1.0,0.0,1.0,CALL,156.848345,156.857615
EURGBP,123.99,2023-08-02 09:36:50.616520,09:36:50,NEUTRO,1.0,0.0,0.0,PUT,0.86101,0.86099
EURUSD,124.67,2023-08-02 09:37:51.130882,09:37:50,ALTA,1.0,2.0,1.0,CALL,1.096295,1.09642
EURJPY,123.45,2023-08-02 09:37:51.130882,09:37:50,ALTA,1.0,0.0,5.0,CALL,156.849445,156.863445
EURUSD,124.67,2023-08-02 09:38:50.522951,09:38:50,NEUTRO,0.0,1.0,0.0,CALL,1.095925,1.09637
EURJPY,123.45,2023-08-02 09:38:50.522951,09:38:50,NEUTRO,0.0,0.0,0.0,CALL,156.825145,156.844005
EURUSD,124.67,2023-08-02 09:39:51.135016,09:39:50,NEUTRO,0.0,2.0,0.0,PUT,1.09612,1.096035
EURJPY,123.45,2023-08-02 09:39:51.135016,09:39:50,ALTA,0.0,0.0,0.0,PUT,156.860805,156.850545
EURGBP,123.99,2023-08-02 09:39:51.135016,09:39:50,NEUTRO,0.0,0.0,0.0,CALL,0.861395,0.861245
